Model,makespan,throughput,avg_abs_start_dev,avg_duration_diff,levenshtein_seq,leven_a3_0_seq,toolchange_perc,seed,instance,priority_rule
TruthContinousSmallLogCopyModel_2000,19930.0,14.6,1.4,4.9,1300.0,1950,51.877,91,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.9,0.0,0,48.777,91,2000,fcfs
CausalContinousSmallLogCopyModel,-11.0,1.3,8.2,4.9,5.667,17,48.777,91,2000,fcfs
AverageOperationModel,-11.0,-5.8,12.3,4.9,5.667,17,47.443,91,2000,fcfs
LogNormalDistributionModel,-14.0,-8.8,16.4,4.9,7.667,23,48.777,91,2000,fcfs
NormalDistributionModel,-12.0,-8.0,12.7,4.9,6.667,20,50.11,91,2000,fcfs
HistoDistributionModel,28.0,-8.9,25.2,4.9,5.667,17,47.443,91,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19913.0,14.4,0.2,4.56,1300.0,1950,52.627,93,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.56,0.0,0,43.317,93,2000,fcfs
CausalContinousSmallLogCopyModel,22.0,1.3,10.5,4.56,7.333,22,41.983,93,2000,fcfs
AverageOperationModel,1.0,-1.8,8.0,4.56,6.333,19,39.983,93,2000,fcfs
LogNormalDistributionModel,-29.0,-0.2,16.9,4.56,8.667,26,38.65,93,2000,fcfs
NormalDistributionModel,35.0,0.6,13.8,4.56,6.333,19,39.317,93,2000,fcfs
HistoDistributionModel,-41.0,-0.5,16.2,4.56,6.0,18,39.983,93,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19911.0,11.1,0.5,4.4,1300.0,1950,52.63,80,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.4,0.0,0,44.507,80,2000,fcfs
CausalContinousSmallLogCopyModel,0.0,4.6,8.2,4.4,6.333,19,43.173,80,2000,fcfs
AverageOperationModel,0.0,0.2,15.1,4.4,7.333,22,40.507,80,2000,fcfs
LogNormalDistributionModel,-44.0,2.3,30.4,4.4,10.667,32,36.507,80,2000,fcfs
NormalDistributionModel,-9.0,4.8,20.2,4.4,9.0,27,41.84,80,2000,fcfs
HistoDistributionModel,-3.0,1.5,18.9,4.4,8.333,25,41.84,80,2000,fcfs
TruthContinousSmallLogCopyModel_2000,20673.0,0.5,0.1,4.51,1300.0,1950,52.753,94,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.51,0.0,0,57.71,94,2000,fcfs
CausalContinousSmallLogCopyModel,6.0,-7.5,8.7,4.51,6.667,20,59.043,94,2000,fcfs
AverageOperationModel,-6.0,-9.3,9.2,4.51,7.0,21,53.71,94,2000,fcfs
LogNormalDistributionModel,12.0,-7.3,13.7,4.51,8.333,25,57.71,94,2000,fcfs
NormalDistributionModel,19.0,2.4,20.0,4.51,9.667,29,57.71,94,2000,fcfs
HistoDistributionModel,-6.0,-3.7,13.5,4.51,8.667,26,55.043,94,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19972.0,8.1,0.2,3.92,1300.0,1950,52.297,78,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,3.92,0.0,0,48.667,78,2000,fcfs
CausalContinousSmallLogCopyModel,-10.0,-0.4,10.3,3.92,9.0,27,51.333,78,2000,fcfs
AverageOperationModel,3.0,-5.3,11.6,3.92,8.333,25,47.333,78,2000,fcfs
LogNormalDistributionModel,1.0,-3.4,12.4,3.92,9.0,27,48.667,78,2000,fcfs
NormalDistributionModel,-33.0,18.9,20.1,3.92,8.667,26,46.0,78,2000,fcfs
HistoDistributionModel,-16.0,-5.9,11.7,3.92,6.0,18,48.667,78,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19889.0,10.5,0.5,4.71,1300.0,1950,51.083,103,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.71,0.0,0,46.74,103,2000,fcfs
CausalContinousSmallLogCopyModel,-11.0,-5.2,5.0,4.71,4.0,12,48.74,103,2000,fcfs
AverageOperationModel,-10.0,-6.2,8.4,4.71,6.333,19,45.407,103,2000,fcfs
LogNormalDistributionModel,34.0,6.3,28.5,4.71,7.667,23,45.407,103,2000,fcfs
NormalDistributionModel,26.0,3.8,15.3,4.71,8.333,25,44.74,103,2000,fcfs
HistoDistributionModel,-21.0,-0.2,13.1,4.71,6.0,18,42.74,103,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19963.0,12.7,0.6,4.7,1300.0,1950,51.207,98,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.7,0.0,0,47.35,98,2000,fcfs
CausalContinousSmallLogCopyModel,-22.0,-4.3,12.2,4.7,8.333,25,55.35,98,2000,fcfs
AverageOperationModel,-2.0,2.7,10.4,4.7,6.667,20,44.683,98,2000,fcfs
LogNormalDistributionModel,88.0,6.4,44.3,4.7,9.333,28,48.683,98,2000,fcfs
NormalDistributionModel,-19.0,14.7,17.9,4.7,8.0,24,48.683,98,2000,fcfs
HistoDistributionModel,41.0,20.0,19.0,4.7,6.0,18,44.683,98,2000,fcfs
TruthContinousSmallLogCopyModel_2000,20071.0,4.0,0.1,4.48,1300.0,1950,52.843,104,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.48,0.0,0,48.61,104,2000,fcfs
CausalContinousSmallLogCopyModel,14.0,-3.6,8.2,4.48,6.667,20,48.61,104,2000,fcfs
AverageOperationModel,12.0,-2.3,8.4,4.48,4.667,14,46.61,104,2000,fcfs
LogNormalDistributionModel,34.0,15.7,17.9,4.48,7.667,23,45.943,104,2000,fcfs
NormalDistributionModel,16.0,3.3,12.8,4.48,7.0,21,45.943,104,2000,fcfs
HistoDistributionModel,92.0,-11.8,33.4,4.48,9.667,29,44.61,104,2000,fcfs
TruthContinousSmallLogCopyModel_2000,20396.0,15.0,0.3,4.65,1300.0,1950,51.593,100,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.65,0.0,0,54.777,100,2000,fcfs
CausalContinousSmallLogCopyModel,-13.0,1.7,5.4,4.65,4.0,12,54.777,100,2000,fcfs
