job_id,operation_id,machine,start_time,duration,plan_duration,end_time
p110,4,a2_0,462.0,30.0,30.0,492.0
p110,5,a4_0,3729.0,15.0,18.0,3744.0
p111,1,a1_0,486.0,36.0,36.0,522.0
p111,2,a2_0,492.0,45.0,45.0,537.0
p111,3,a1_0,522.0,15.0,15.0,537.0
p111,4,a3_0,537.0,18.0,15.0,555.0
p112,1,a1_0,537.0,15.0,15.0,552.0
p112,2,a4_0,261.0,54.0,54.0,315.0
p112,3,a3_0,555.0,18.0,15.0,573.0
p112,4,a2_0,591.0,30.0,36.0,621.0
p112,5,a4_0,3744.0,15.0,18.0,3759.0
p113,1,a1_0,570.0,15.0,18.0,585.0
p113,2,a4_0,315.0,45.0,45.0,360.0
p113,3,a3_0,606.0,15.0,18.0,621.0
p113,4,a2_0,627.0,36.0,36.0,663.0
p113,5,a4_0,3759.0,15.0,15.0,3774.0
p114,1,a1_0,588.0,15.0,18.0,603.0
p114,2,a4_0,360.0,54.0,54.0,414.0
